Program ,state,comp,util,region,season,sm,em,dow,min_days,max_events,max_days,min_dur,max_dur,start_time,end_time,events_daily,max_consec,max_hours,notif_type,notif_time,notif_delt,base_method,hist_pres,pay_function,elig
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,NM,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,NM, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",NM,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (no notice, 80hrs, year round) (New Mexico)",ND,Xcel Energy,,west ,year_round,1,12,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,80,day_of,n/a,0,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,ND,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,ND, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",ND,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (1-hour notice, 160hrs, year round) (New Mexico)",OR,Xcel Energy,,west ,year_round,1,12,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,160,day_of,n/a,1,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,SD,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,SD, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",UT,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (no notice, 160hrs, year round) (New Mexico)",WA,Xcel Energy,,west ,year_round,1,12,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,160,day_of,n/a,0,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,CT,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,CT, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",DE,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (1-hour notice, 40hrs, summer) (New Mexico)",MD,Xcel Energy,,west ,summer,6,9,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,40,day_of,n/a,1,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,MA,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,MA, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
